run,evaluations,best_fitness,current_fitness,temperature,accepted
1,505.0,1394554.570977,1394554.570977,5.000000,0
1,532.9,1393265.571130,1393265.571130,4.500000,1
1,538.9,1393265.571130,1393265.571130,4.050000,1
1,539.9,1393265.571130,1393265.571130,3.645000,1
1,758.8,1393265.571130,1393265.571130,3.280500,1
1,766.8,1393265.571130,1393265.571130,2.952450,0
1,771.8,1393265.571130,1393265.571130,2.657205,1
1,774.8,1393265.571130,1393265.571130,2.391485,1
1,805.7,1390177.534319,1390177.534319,2.152336,1
1,842.6,1387552.268623,1387552.268623,1.937102,1
1,857.6,1387552.268623,1387552.268623,1.743392,1
1,858.6,1387552.268623,1387552.268623,1.569053,1
1,880.5,1385556.068563,1385556.068563,1.412148,1
1,888.5,1385518.572618,1385518.572618,1.270933,1
1,893.5,1385518.572618,1385518.572618,1.143840,1
1,908.5,1385518.572618,1385518.572618,1.029456,1
1,923.5,1385518.572618,1385518.572618,0.926510,1
1,972.4,1382953.677475,1382953.677475,0.833859,1
1,999.4,1382953.677475,1382953.677475,0.750473,1
1,1000.4,1382953.677475,1382953.677475,0.675426,1
1,1022.2,1381021.715781,1381021.715781,0.607883,1
1,1028.2,1381015.479562,1381015.479562,0.547095,1
1,1033.2,1380988.274870,1380988.274870,0.492385,1
1,1078.2,1380988.274870,1380988.274870,0.443147,1
1,1090.2,1380988.274870,1380988.274870,0.398832,1
1,1151.1,1376645.071859,1376645.071859,0.358949,1
1,1190.1,1376645.071859,1376645.071859,0.323054,1
1,1191.1,1376645.071859,1376645.071859,0.290749,1
1,1212.8,1374641.483382,1374641.483382,0.261674,1
1,1233.8,1374593.535518,1374593.535518,0.235506,1
1,1238.9,1374593.535518,1374593.535518,0.211956,1
1,1253.9,1374593.535518,1374593.535518,0.190760,1
1,1282.9,1374593.535518,1374593.535518,0.171684,1
1,1349.6,1371065.354722,1371065.354722,0.154516,1
1,1394.6,1371065.354722,1371065.354722,0.139064,1
1,1395.6,1371065.354722,1371065.354722,0.125158,1
1,1417.4,1368060.665315,1368060.665315,0.112642,1
1,1421.4,1367866.768761,1367866.768761,0.101378,1
1,1426.4,1367815.496239,1367815.496239,5.000000,1
1,1541.2,1363897.837165,1363897.837165,4.500000,1
1,1606.2,1363897.837165,1363897.837165,4.050000,1
